Individual	Number	PopName
Cossypha_semirufa_EB008	1	Cossypha_east
Melaenornis_chocolatinus_EB063	10	Melaenornis_west
Melaenornis_chocolatinus_EB067	11	Melaenornis_east
Parophasma_galinieri_EB004	12	Parophasma_east
Parophasma_galinieri_EB017	13	Parophasma_east
Parophasma_galinieri_EB056	14	Parophasma_west
Serinus_tristriatus_EB007	15	Crithagra_east
Serinus_tristriatus_EB015	16	Crithagra_east
Serinus_tristriatus_EB043	17	Crithagra_west
Serinus_tristriatus_EB058	18	Crithagra_west
Serinus_tristriatus_EB064	19	Crithagra_west
Cossypha_semirufa_EB009	2	Cossypha_east
Turdus_abyssinicus_EB001	20	Turdus_east
Turdus_abyssinicus_EB006	21	Turdus_east
Turdus_abyssinicus_EB010	22	Turdus_east
Turdus_abyssinicus_EB042	23	Turdus_west
Turdus_abyssinicus_EB045	24	Turdus_west
Turdus_abyssinicus_EB046	25	Turdus_west
Zosterops_poliogastrus_EB013	26	Zosterops_east
Zosterops_poliogastrus_EB049	27	Zosterops_west
Zosterops_poliogastrus_EB050	28	Zosterops_west
Zosterops_poliogastrus_EB051	29	Zosterops_west
Cossypha_semirufa_EB024	3	Cossypha_east
Zosterops_poliogastrus_EB065	30	Zosterops_east
Cossypha_semirufa_EB044	4	Cossypha_west
Cossypha_semirufa_EB062	5	Cossypha_west
Melaenornis_chocolatinus_EB002	6	Melaenornis_east
Melaenornis_chocolatinus_EB003	7	Melaenornis_east
Melaenornis_chocolatinus_EB053	8	Melaenornis_west
Melaenornis_chocolatinus_EB059	9	Melaenornis_west
