Individual	Number	PopName
Cossypha_semirufa_EB008	1	Cossypha
Melaenornis_chocolatinus_EB063	10	Melaenornis
Melaenornis_chocolatinus_EB067	11	Melaenornis
Parophasma_galinieri_EB004	12	Parophasma
Parophasma_galinieri_EB017	13	Parophasma
Parophasma_galinieri_EB056	14	Parophasma
Serinus_tristriatus_EB007	15	Serinus
Serinus_tristriatus_EB015	16	Serinus
Serinus_tristriatus_EB043	17	Serinus
Serinus_tristriatus_EB058	18	Serinus
Serinus_tristriatus_EB064	19	Serinus
Cossypha_semirufa_EB009	2	Cossypha
Turdus_abyssinicus_EB001	20	Turdus
Turdus_abyssinicus_EB006	21	Turdus
Turdus_abyssinicus_EB010	22	Turdus
Turdus_abyssinicus_EB042	23	Turdus
Turdus_abyssinicus_EB045	24	Turdus
Turdus_abyssinicus_EB046	25	Turdus
Zosterops_poliogastrus_EB013	26	Zosterops
Zosterops_poliogastrus_EB049	27	Zosterops
Zosterops_poliogastrus_EB050	28	Zosterops
Zosterops_poliogastrus_EB051	29	Zosterops
Cossypha_semirufa_EB024	3	Cossypha
Zosterops_poliogastrus_EB065	30	Zosterops
Cossypha_semirufa_EB044	4	Cossypha
Cossypha_semirufa_EB062	5	Cossypha
Melaenornis_chocolatinus_EB002	6	Melaenornis
Melaenornis_chocolatinus_EB003	7	Melaenornis
Melaenornis_chocolatinus_EB053	8	Melaenornis
Melaenornis_chocolatinus_EB059	9	Melaenornis
